VRM,OfferDate,Condition,Age,Mileage,PreviousOwners,ServiceHistory,Make,Model,TransmissionType,FuelType,Colour,BodyType,TradeValuation1,CompetitorB,CompetitorC
WP59ULH,2021-04-06,average,11.3,55000,2,partial,Ford,Focus,,,Grey,,1928,1195,1715
MA63WPV,2021-04-06,good,7.5,38500,1,partial,Fiat,500,,,Blue,,3082,2563,3008
S11KRN,2021-04-06,poor,8.6,55000,2,none,Fiat,Punto,,,White,,1383,863,1128
SB08HNK,2021-04-06,poor,12.9,70000,3,none,Fiat,Grande Punto,,,Grey,,481,297,329
FR11PMU,2021-04-06,poor,9.7,125000,1,full,Volkswagen,Golf,,,Blue,,1913,1545,1692
EY61TFF,2021-04-06,good,9.4,143150,4,partial,Honda,Insight,,,White,,2279,1636,2162
TF07RYO,2021-04-06,poor,13.8,50000,2,partial,Fiat,Panda,,,Blue,,532,388,376
VO58ULJ,2021-04-06,average,12.2,70100,1,partial,MINI,Hatch,,,Black,,1494,1018,1292
VK11WUV,2021-04-06,poor,9.9,54436,2,partial,Fiat,500,,,Silver,,2089,1524,1480
CV60UBW,2021-04-06,average,10.6,154614,2,partial,Renault,Clio,,,Black,,152,206,329
EN12YLA,2021-04-06,excellent,8.7,150000,3,full,BMW,5 Series,,,Grey,,3624,3825,3642
SD58MDY,2021-04-06,poor,12.5,72000,2,full,Vauxhall,Corsa,,,Silver,,843,430,540
MJ61GWY,2021-04-06,good,9.3,111000,1,partial,Ford,Grand C-Max,,,White,,2348,2223,2350
DS13FUA,2021-04-06,average,7.9,175800,3,none,Vauxhall,Insignia,,,Silver,,568,369,587
JU57NMS,2021-04-06,good,6.2,70000,1,full,Volkswagen,Golf,,,Blue,,13478,12759,12267
HY57WSJ,2021-04-06,average,13.6,76000,4,partial,Renault,Clio,,,Black,,404,356,376
LC57WWR,2021-04-06,poor,13.4,85192,4,none,Kia,Sedona,,,Black,,940,356,517
VU15GFO,2021-04-06,good,6,90000,0,none,Vauxhall,Insignia,,,Black,,3381,2926,3243
WJ63PLN,2021-04-06,good,7.6,90000,2,partial,Volkswagen,Polo,,,Blue,,2909,2277,2820
GL62OSB,2021-04-06,good,8.2,81000,3,partial,Hyundai,Veloster,,,Red,,3556,2968,3102
WE06LES,2021-04-06,average,8.5,70200,3,none,Ford,Fiesta,,,White,,2588,1981,2209
VO64HPU,2021-04-06,excellent,6.6,88000,1,full,Volkswagen,Polo,,,White,,3199,3570,3501
MA64VDG,2021-04-06,poor,6.5,44307,2,partial,Ford,Fiesta,,,White,,3869,3323,3031
KS63EUR,2021-04-06,excellent,7.3,62000,4,full,Toyota,RAV4,,,Black,,8388,8675,7802
RK14ZPW,2021-04-06,good,7,46000,2,partial,Peugeot,208,,,Black,,2786,2226,2867
AJ06PSZ,2021-04-06,poor,14.8,175000,3,partial,Volkswagen,Polo,,,Green,,150,174,188
VK68UJN,2021-04-06,good,2.3,80000,1,partial,Vauxhall,Crossland X,,,Black,,5756,5478,5452
MF10GWJ,2021-04-06,good,11.1,155700,2,partial,Ford,Kuga,,,Grey,,1746,1391,1668
PK13FFH,2021-04-06,average,8,100600,2,full,Vauxhall,Corsa,,,Grey,,1150,732,1175
LD08ZGF,2021-04-06,average,12.9,59000,2,partial,Volkswagen,Golf,,,Black,,2330,1433,1809
GF62GWC,2021-04-06,good,8.4,10600,3,partial,Nissan,Juke,,,White,,5217,4314,4841
CE63FZD,2021-04-06,average,7.5,110000,0,full,SKODA,Fabia,,,Blue,,1240,760,1245
HW59KPZ,2021-04-06,excellent,11.3,72000,2,full,Volkswagen,Polo,,,Blue,,2647,3000,2585
FT63CYC,2021-04-06,average,7.3,102274,3,partial,Volkswagen,Golf,,,Grey,,3781,3091,3501
BK12HLD,2021-04-06,good,9,64000,2,none,Ford,Fiesta,,,Blue,,2631,2195,2397
CK59VYD,2021-04-06,poor,11.4,65000,1,none,Ford,Fiesta,,,Grey,,2038,1294,1504
YT13RYO,2021-04-06,average,8,91500,2,partial,Mercedes-Benz,C Class,,,Black,,4561,4351,4230
CF14DKV,2021-04-06,good,6.6,78000,1,full,Vauxhall,Corsa,,,Silver,,1589,1248,1762
OV57PCF,2021-04-06,average,13.4,104380,2,partial,Vauxhall,Zafira,,,Blue,,304,229,399
DV14ATN,2021-04-06,good,7,68400,2,partial,BMW,1 Series,,,White,,5119,4314,5076
WM64ARZ,2021-04-06,poor,6.3,20000,0,full,Fiat,Panda,,,Black,,2906,2526,2303
HN07EEY,2021-04-06,average,14,94000,1,full,Renault,Clio,,,Blue,,355,229,305
LS63WGF,2021-04-06,good,7.4,62414,2,partial,Volkswagen,Polo,,,White,,3230,2864,3642
FH13PUF,2021-04-06,good,7.7,75300,2,partial,Peugeot,208,,,Blue,,1901,1645,2185
FJ14WBT,2021-04-06,good,7.1,53366,1,full,Ford,Fiesta,,,Black,,3465,3023,3454
AV14CRK,2021-04-06,good,7,21054,1,full,Vauxhall,Meriva,,,Blue,,3922,3557,3572
KS65GYG,2021-04-06,excellent,5.2,67000,2,full,Mercedes-Benz,C Class,,,Black,,9318,10000,9400
HM09AJM,2021-04-06,good,12.1,110347,3,partial,Land Rover,Freelander 2,,,Black,,4293,4063,3807
DF08VXX,2021-04-06,good,12.9,99000,2,partial,Ford,Focus,,,Black,,739,641,940
BJ63WDP,2021-04-06,good,7.3,74000,2,full,Ford,C-Max,,,White,,2940,2409,2867
AJ12TWK,2021-04-06,average,8.8,90000,2,full,Volvo,S60,,,Blue,,2984,2536,2491
FE60ZLU,2021-04-06,good,10.6,72000,3,partial,Volkswagen,Polo,,,White,,2543,1855,2444
KP08ZSK,2021-04-06,good,13,91222,3,none,Peugeot,308,,,Silver,,286,336,470
M1GMG,2021-04-06,poor,8.5,55000,1,full,BMW,1 Series,,,Grey,,4994,4349,3736
PK13CKJ,2021-04-06,excellent,7.9,37000,1,full,Citroen,Grand C4 Picasso,,,Blue,,4834,4270,4935
MK57FZC,2021-04-06,average,13.6,79000,4,partial,Honda,Civic,,,Black,,1735,1167,1645
LX08YVP,2021-04-06,poor,13.1,109347,1,full,Nissan,Micra,,,Beige,,185,251,282
CK56CBO,2021-04-06,poor,14.5,150000,4,partial,Ford,Fiesta,,,Blue,,150,50,117
